class_code,class_number, class_name,Fall 2018,Winter 2020,Spring 2019,Summer 2019,Fall 2019,Winter 2020,Spring 2020,Summer 2020,Fall 2020,Winter 2021,Spring 2021,Summer 2021,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023
CMSC,621,Adv Operating Systems,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1
CMSC,626,Princ Computer Security,,,2,,2,,,1,1,,1,,2,,1,,1,,2,,1
CMSC,627,Wearable Computing,,,,,,,,,,,,,,,,,,,,,
CMSC,628,Intro Mobile Comput,,,1,,,,,,,,1,,,,1,,,,1,,
CMSC,634,Computer Graphics,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
CMSC,635,Adv Comp Graphics,,,,,,,,,,,,,,,,,,,,,
CMSC,636,Data Visualization,,,,,1,,,,1,,,,1,,,,2,,1,,1
CMSC,641,Design & Analy Algorthms,2,,1,,2,,1,,1,,1,,3,,2,,2,,2,,2
CMSC,643,Quantum Computation,,,1,,,,,,1,,,,1,,,,1,,,,1
CMSC,644,Information Assurance,,,,,,,,,,,,,,,,,,,,,
CMSC,645,Adv Software Engineering,,,,,,,,,,,,,,,,,,,,,
CMSC,651,Automata Thry/Forml Lang,,,,,,,,,,,,,,,,,,,,,
CMSC,652,Cryptography & Data Sec,,,2,,,,1,,,,,,,,,,,,,,
CMSC,653,Coding Thry/Applications,2,,,,,,,,,,1,,,,1,,,,2,,
CMSC,655,Numerical Computations,2,,,,1,,,,1,,,,1,,,,1,,,,1
CMSC,656,Symbolic/Algebraic Proc,,,,,,,,,,,,,,,,,,,,,
CMSC,661,Prin Of Database Sys,,,,,,,,,,,,,,,,,,,,,
CMSC,668,Service Oriented Computing,2,,,,2,,,,1,,,,1,,,,1,,,,1
CMSC,671,Prin Artificial Intell,2,,,,1,,,,1,,,,1,,,,1,,,,1
CMSC,673,Intro Nat Lang Process,1,,,,1,,,,1,,,,1,,,,1,,,,1
CMSC,675,Neural Networks,,,,,,,,,,,,,,,,,,,,,
CMSC,676,Information Retrieval,,,1,,,,2,,,,1,,,,1,,,,1,,
