,,,Summer 2009,Fall 2009,Spring 2010,Summer 2010,Fall 2010,Spring 2011,Summer 2011,Fall 2011,Spring 2012,Summer 2012,Fall 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Winter 2017,Spring 2017,Summer 2017,Fall 2017,Winter 2018,Spring 2018,Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Winter 2020,Spring 2020,Summer 2020,Fall 2020,Winter 2021,Spring 2021,Summer 2021,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023
CMPE,647,Analog IC Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CMPE,650,Digital Systems,,,2,,,2,,,,,,2,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CMPE,670,Biomedical Microsystems,,,,,,,,,1,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMPE,684,Wireless Sensor Networks,,,,,,,,,1,,,,,1,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,1,,,,,,1,,,,
CMPE,685,Principles of Communication Ne,,,,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMPE,691,Spec Top In Cmpe,,,3,,1,2,,2,2,,1,1,,2,1,,2,1,,1,1,,2,,1,,1,,2,,3,3,,2,,4,,4,,3,,2,,3,,2,,2,,2
CMPE,698,Res Proj In Cmpe,1,1,1,,,,,1,,,1,1,,,4,2,2,1,,3,2,1,1,,1,1,,,5,,2,6,,1,,4,,1,,3,,,,2,1,2,,4,,
CMPE,699,Ind Study In Cmpe,,1,2,,2,1,1,2,4,,4,3,1,3,4,1,4,2,,4,3,,4,,3,,6,,3,2,1,3,,1,,4,,5,,6,2,5,,4,,1,,3,,
CMPE,799,Master's Thesis Research,,1,1,,2,3,,3,3,,2,2,,5,4,2,2,3,,3,4,,2,,3,,4,,1,,3,2,,2,,3,,1,,2,1,2,,1,,,,,,
CMPE,800,Graduate Research,,1,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMPE,898,Pre Candidacy Doc Rsch,1,1,3,,4,4,,3,3,1,3,3,,2,2,,4,3,,4,5,,4,,5,,5,,6,,4,5,,5,,6,,7,1,7,,6,,6,1,6,,6,,
CMPE,899,Doctoral Diss Research,,1,1,,,,,,1,,2,1,,2,1,,2,2,,2,4,,5,,5,,3,,2,,6,6,,4,,4,,2,,4,2,5,,5,1,3,,3,,
CMSC,100,Intro to Computer Science,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,100H,Intro to Computer Science,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,101,Comput Thinking & Design,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,104,Prob Solving & Computer Prog,1,5,4,1,5,4,,5,4,1,5,3,1,3,3,,2,2,,2,2,,2,,2,,2,,2,,2,2,,2,,2,1,2,1,2,1,2,1,2,,2,1,2,,2
CMSC,104Y,Prob Sol & Computer Prog,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,201,Computer Science I,,16,13,,16,12,,17,16,,18,15,,24,17,,26,18,,30,20,3,30,,19,,32,,21,,38,22,,38,,21,,38,,21,,39,,21,,38,,21,,28
CMSC,202,Computer Science II,,12,12,,13,12,,12,18,,15,15,,15,19,,15,19,,14,23,,17,,23,4,17,,25,,17,26,,17,,29,,17,,30,,17,,24,,18,,24,,18
